Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
11/1/2006,213.268922,6.24,62614.5,4195.618833,4,311090.713,869.2412083,41.03%,401065.3333,0.57%,758,2.21,190.1
12/1/2006,213.1596729,6.14,62804.75,4198.902417,3.8,311961.2015,875.6375,41.00%,404206,0.60%,997,2.28,190.1
1/1/2007,214.6233484,6.22,62995,4202.186,4.4,312831.69,875.5078167,41.00%,406241.3333,0.67%,546,2.73,193.351
2/1/2007,214.8825248,6.29,63016,4207.0235,4.3,314172.7853,875.3781333,41.00%,408276.6667,0.73%,597,2.91,193.351
3/1/2007,215.3164693,6.16,63037,4211.861,4.3,315513.8807,875.24845,41.00%,410312,0.80%,1202,2.81,195.511
4/1/2007,213.5337302,6.18,63058,4216.6985,4.1,316854.976,875.1187667,41.03%,411755,0.87%,893,1.9,195.511
5/1/2007,210.7742638,6.26,63079,4221.536,3.9,318196.0713,874.9890833,41.07%,413198,0.93%,878,2.37,196.33
6/1/2007,207.9661546,6.66,63100,4226.3735,4.5,319537.1667,874.8594,41.10%,414641,1.00%,671,2.3,196.33
7/1/2007,205.5673652,6.7,63121,4231.211,4.8,320878.262,874.7297167,41.10%,416359.6667,1.10%,1096,2.29,195.883
8/1/2007,204.5166614,6.57,63142,4236.0485,4.6,322219.3573,874.6000333,41.10%,418078.3333,1.20%,1051,2.26,195.883
9/1/2007,203.1154271,6.38,63163,4240.886,4.5,323560.4527,874.47035,41.10%,419797,1.30%,799,2.09,197.716
10/1/2007,199.6485751,6.38,63184,4245.7235,4.5,324901.548,874.3406667,41.10%,420275,1.50%,557,2.63,197.716
11/1/2007,194.6962002,6.21,63205,4250.561,4.5,326242.6433,874.2109833,41.10%,420753,1.70%,529,2.74,199.192
12/1/2007,189.994489,6.1,63226,4255.3985,4.5,327583.7387,874.0813,41.10%,421231,1.90%,1064,2.25,199.192
1/1/2008,186.6349872,5.76,63247,4260.236,4.9,328924.834,871.65455,41.13%,421276.3333,2.13%,987,1.99,200.223
2/1/2008,178.8521313,5.92,62929.08333,4265.037417,4.7,327474.4386,869.2278,41.17%,421321.6667,2.37%,457,1.48,200.223
3/1/2008,172.5596022,5.97,62611.16667,4269.838833,5,326024.0432,866.80105,41.20%,421367,2.60%,590,0.13,203.388
4/1/2008,166.7406553,5.92,62293.25,4274.64025,4.7,324573.6478,864.3743,41.17%,420509.6667,2.83%,1323,-0.62,203.388
5/1/2008,162.559438,6.04,61975.33333,4279.441667,5.1,323123.2523,861.94755,41.13%,419652.3333,3.07%,325,-1.52,207.473
6/1/2008,158.5015117,6.32,61657.41667,4284.243083,5.7,321672.8569,859.5208,41.10%,418795,3.30%,386,-1.72,207.473
7/1/2008,154.105582,6.43,61339.5,4289.0445,6.1,320222.4615,857.09405,41.10%,417463,3.43%,537,-2.06,207.026
8/1/2008,148.1593965,6.48,61021.58333,4293.845917,6.3,318772.0661,854.6673,41.10%,416131,3.57%,379,-2.96,207.026
9/1/2008,142.8335454,6.04,60703.66667,4298.647333,6.1,317321.6707,852.24055,41.10%,414799,3.70%,596,-3.77,206.082
10/1/2008,137.587082,6.2,60385.75,4303.44875,6.3,315871.2753,849.8138,41.00%,415769,3.93%,271,-5.27,206.082
11/1/2008,134.682533,6.09,60067.83333,4308.250167,6.6,314420.8798,847.38705,40.90%,416739,4.17%,575,-6.75,196.699
12/1/2008,130.6335802,5.29,59749.91667,4313.051583,7,312970.4844,844.9603,40.80%,417709,4.40%,465,-7.55,196.699
1/1/2009,126.6573183,5.05,59432,4317.853,8.1,311520.089,835.8514917,40.80%,419002,4.77%,136,-8.78,200.776
2/1/2009,123.9742315,5.13,59582.66667,4320.001417,8.5,312084.9281,826.7426833,40.80%,420295,5.13%,292,-9.45,200.776
3/1/2009,121.0814386,5,59733.33333,4322.149833,9,312649.7672,817.633875,40.80%,421588,5.50%,337,-8.44,202.688
4/1/2009,120.1738374,4.81,59884,4324.29825,8.7,313214.6063,808.5250667,40.67%,420674,5.80%,262,-7.39,202.688
5/1/2009,119.8674967,4.86,60034.66667,4326.446667,9,313779.4453,799.4162583,40.53%,419760,6.10%,218,-6.4,205.878
6/1/2009,123.3420671,5.42,60185.33333,4328.595083,9.8,314344.2844,790.30745,40.40%,418846,6.40%,308,-5.25,205.878
7/1/2009,126.1579663,5.22,60336,4330.7435,10,314909.1235,781.1986417,40.37%,418078,6.50%,216,-4.16,206.084
8/1/2009,129.2363343,5.19,60486.66667,4332.891917,10,315473.9626,772.0898333,40.33%,417310,6.60%,329,-2.69,206.084
9/1/2009,131.5562863,5.06,60637.33333,4335.040333,9.9,316038.8017,762.981025,40.30%,416542,6.70%,295,-1.27,206.891
10/1/2009,134.0281872,4.95,60788,4337.18875,10,316603.6408,753.8722167,40.27%,414629,6.87%,385,0.19,206.891
11/1/2009,136.1183751,4.88,60938.66667,4339.337167,9.8,317168.4798,744.7634083,40.23%,412716,7.03%,284,0.67,205.327
12/1/2009,137.0281465,4.93,61089.33333,4341.485583,9.7,317733.3189,735.6546,40.20%,410803,7.20%,412,0.54,205.327
1/1/2010,138.496385,5.03,61240,4343.634,10.3,318298.158,732.8548333,40.23%,409214.6667,7.23%,181,0.54,208.159
2/1/2010,139.3008347,4.99,61597.58333,4347.974917,10.1,319409.5893,730.0550667,40.27%,407626.3333,7.27%,514,0.81,208.159
3/1/2010,140.9244022,4.97,61955.16667,4352.315833,10.2,320521.0205,727.2553,40.30%,406038,7.30%,389,1.49,210.248
4/1/2010,141.7344483,5.1,62312.75,4356.65675,9.8,321632.4518,724.4555333,40.27%,405434.3333,7.20%,384,1.39,210.248
5/1/2010,141.3914305,4.89,62670.33333,4360.997667,9.5,322743.883,721.6557667,40.23%,404830.6667,7.10%,282,1.96,211.081
6/1/2010,140.5343554,4.74,63027.91667,4365.338583,9.9,323855.3143,718.856,40.20%,404227,7.00%,528,2.23,211.081
7/1/2010,139.8589876,4.56,63385.5,4369.6795,10.2,324966.7455,716.0562333,40.07%,403653,6.93%,253,2.03,210.307
8/1/2010,139.1737673,4.43,63743.08333,4374.020417,10.1,326078.1768,713.2564667,39.93%,403079,6.87%,244,1.8,210.307
9/1/2010,138.8836758,4.35,64100.66667,4378.361333,9.7,327189.608,710.4567,39.80%,402505,6.80%,593,2.26,210.085
10/1/2010,137.2369727,4.23,64458.25,4382.70225,9.7,328301.0393,707.6569333,39.43%,400911,6.77%,308,2.4,210.085
11/1/2010,136.9864331,4.3,64815.83333,4387.043167,9.9,329412.4705,704.8571667,39.07%,399317,6.73%,213,2.41,209.946
12/1/2010,136.9094507,4.71,65173.41667,4391.384083,9.4,330523.9018,702.0574,38.70%,397723,6.70%,790,3.88,209.946
1/1/2011,136.534832,4.76,65531,4395.725,9.8,331635.333,698.5216583,38.93%,397342.6667,6.60%,353,4.82,213.066
2/1/2011,134.7516008,4.95,65939.08333,4400.704,9.5,334524.7648,694.9859167,39.17%,396962.3333,6.50%,218,4.21,213.066
3/1/2011,133.6956671,4.84,66347.16667,4405.683,9.5,337414.1967,691.450175,39.40%,396582,6.40%,304,3.96,218.237
4/1/2011,133.5217345,4.84,66755.25,4410.662,9,340303.6285,687.9144333,39.47%,394941.6667,6.17%,280,4.85,218.237
5/1/2011,133.1964451,4.64,67163.33333,4415.641,8.8,343193.0603,684.3786917,39.53%,393301.3333,5.93%,370,4.56,217.252
6/1/2011,132.5459821,4.51,67571.41667,4420.62,9.5,346082.4922,680.84295,39.60%,391661,5.70%,1083,4.62,217.252
7/1/2011,131.9270035,4.55,67979.5,4425.599,9.5,348971.924,677.3072083,39.60%,390668,5.63%,214,5.65,217.875
8/1/2011,131.8870794,4.27,68387.58333,4430.578,9.3,351861.3558,673.7714667,39.60%,389675,5.57%,1059,5.21,217.875
9/1/2011,131.0039496,4.11,68795.66667,4435.557,9,354750.7877,670.235725,39.60%,388682,5.50%,486,5.14,218.043
10/1/2011,131.1614828,4.07,69203.75,4440.536,8.8,357640.2195,666.6999833,39.30%,386766.3333,5.40%,399,4.83,218.043
11/1/2011,129.8023012,3.99,69611.83333,4445.515,8.5,360529.6513,663.1642417,39.00%,384850.6667,5.30%,450,5.05,216.1
12/1/2011,129.8710929,3.96,70019.91667,4450.494,8.2,363419.0832,659.6285,38.70%,382935,5.20%,354,5.42,216.1
1/1/2012,128.6313573,3.92,70428,4455.473,8.5,366308.515,663.3428333,38.73%,381608.3333,5.07%,247,5.77,219.2
2/1/2012,129.2261261,3.89,70496.91667,4460.819917,8.4,368007.8653,667.0571667,38.77%,380281.6667,4.93%,250,5.66,219.2
3/1/2012,129.2793642,3.95,70565.83333,4466.166833,8.3,369707.2155,670.7715,38.80%,378955,4.80%,632,6.12,221.761
4/1/2012,131.1309709,3.91,70634.75,4471.51375,7.8,371406.5658,674.4858333,38.77%,377925,4.73%,430,7,221.761
5/1/2012,133.5664349,3.8,70703.66667,4476.860667,7.7,373105.916,678.2001667,38.73%,376895,4.67%,411,7.04,221.915
6/1/2012,136.2769349,3.68,70772.58333,4482.207583,8.2,374805.2663,681.9145,38.70%,375865,4.60%,755,6.58,221.915
7/1/2012,138.2746171,3.55,70841.5,4487.5545,8.3,376504.6165,685.6288333,38.43%,374360,4.50%,1328,5.95,222.995
8/1/2012,139.3160163,3.6,70910.41667,4492.901417,7.9,378203.9668,689.3431667,38.17%,372855,4.40%,1252,5.96,222.995
9/1/2012,141.2236437,3.5,70979.33333,4498.248333,7.3,379903.317,693.0575,37.90%,371350,4.30%,1357,5.91,224.98
10/1/2012,143.2718433,3.38,71048.25,4503.59525,7.3,381602.6673,696.7718333,37.83%,370928.6667,4.10%,875,5.35,224.98
11/1/2012,146.6112448,3.35,71117.16667,4508.942167,7.1,383302.0175,700.4861667,37.77%,370507.3333,3.90%,429,5.1,220.008
12/1/2012,148.8670434,3.35,71186.08333,4514.289083,6.9,385001.3678,704.2005,37.70%,370086,3.70%,943,5.05,220.008
1/1/2013,151.2322906,3.41,71255,4519.636,7.4,386700.718,716.1122583,37.60%,369479.3333,3.53%,795,5.14,223.221
2/1/2013,153.2814117,3.53,71680,4525.081417,7,389432.7783,728.0240167,37.50%,368872.6667,3.37%,748,5.73,223.221
3/1/2013,157.303665,3.57,72105,4530.526833,6.7,392164.8387,739.935775,37.40%,368266,3.20%,463,5.42,225.001
4/1/2013,161.7553777,3.45,72530,4535.97225,6.2,394896.899,751.8475333,37.27%,368906.6667,3.10%,1044,4.79,225.001
5/1/2013,165.8675984,3.54,72955,4541.417667,6.2,397628.9593,763.7592917,37.13%,369547.3333,3.00%,1517,4.44,225.872
6/1/2013,169.4398591,4.07,73380,4546.863083,6.8,400361.0197,775.67105,37.00%,370188,2.90%,558,4.42,225.872
7/1/2013,172.8894059,4.37,73805,4552.3085,6.8,403093.08,787.5828083,36.83%,369326.3333,2.73%,620,4.95,225.222
8/1/2013,175.4561991,4.46,74230,4557.753917,6.5,405825.1403,799.4945667,36.67%,368464.6667,2.57%,1384,5.25,225.222
9/1/2013,178.1856674,4.49,74655,4563.199333,6.2,408557.2007,811.406325,36.50%,367603,2.40%,449,5.15,225.489
10/1/2013,178.9629206,4.19,75080,4568.64475,6.2,411289.261,823.3180833,36.53%,367787,2.27%,1321,5.61,225.489
11/1/2013,180.9911006,4.26,75505,4574.090167,5.9,414021.3213,835.2298417,36.57%,367971,2.13%,782,5.93,223.727
12/1/2013,182.7295973,4.46,75930,4579.535583,5.5,416753.3817,847.1416,36.60%,368155,2.00%,889,5.47,223.727
1/1/2014,186.0448415,4.43,76355,4584.981,5.8,419485.442,842.8078583,36.80%,368333.6667,1.97%,297,5.19,226.286
2/1/2014,187.3157486,4.3,76878.66667,4590.22625,5.8,422276.6448,838.4741167,37.00%,368512.3333,1.93%,381,5.05,226.286
3/1/2014,189.755036,4.34,77402.33333,4595.4715,5.7,425067.8475,834.140375,37.20%,368691,1.90%,997,5.25,229.137
4/1/2014,190.6636473,4.34,77926,4600.71675,4.9,427859.0503,829.8066333,37.10%,368543.3333,1.80%,908,5.64,229.137
5/1/2014,191.5723154,4.19,78449.66667,4605.962,5,430650.253,825.4728917,37.00%,368395.6667,1.70%,602,5.39,230.971
6/1/2014,192.002842,4.16,78973.33333,4611.20725,5.3,433441.4558,821.13915,36.90%,368248,1.60%,650,5.27,230.971
7/1/2014,191.6075279,4.13,79497,4616.4525,5.6,436232.6585,816.8054083,36.83%,367846,1.57%,1137,5.06,229.368
8/1/2014,192.0632269,4.12,80020.66667,4621.69775,5.4,439023.8613,812.4716667,36.77%,367444,1.53%,464,5.44,229.368
9/1/2014,193.505028,4.16,80544.33333,4626.943,5,441815.064,808.137925,36.70%,367042,1.50%,1047,5.49,229.746
10/1/2014,196.1377398,4.04,81068,4632.18825,4.9,444606.2668,803.8041833,36.57%,367570.6667,1.47%,1390,5.47,229.746
11/1/2014,197.7148196,4,81591.66667,4637.4335,4.8,447397.4695,799.4704417,36.43%,368099.3333,1.43%,624,5.86,226.038
12/1/2014,199.9386623,3.86,82115.33333,4642.67875,4.4,450188.6723,795.1367,36.30%,368628,1.40%,1083,6.29,226.038
1/1/2015,200.2906397,3.67,82639,4647.924,4.8,452979.875,793.6100083,36.23%,369060,1.37%,490,6.58,228.275
2/1/2015,205.1922842,3.71,83021.41667,4651.280167,4.6,455571.3274,792.0833167,36.17%,369492,1.33%,655,5.75,228.275
3/1/2015,208.5528401,3.77,83403.83333,4654.636333,4.5,458162.7798,790.556625,36.10%,369924,1.30%,1266,5.48,231.021
4/1/2015,209.5758553,3.67,83786.25,4657.9925,4.1,460754.2323,789.0299333,35.93%,369717,1.23%,1142,5.16,231.021
5/1/2015,210.2363021,3.84,84168.66667,4661.348667,4.2,463345.6847,787.5032417,35.77%,369510,1.17%,878,5.49,231.934
6/1/2015,210.6980319,3.98,84551.08333,4664.704833,4.4,465937.1371,785.97655,35.60%,369303,1.10%,1441,6.21,231.934
7/1/2015,211.8070339,4.05,84933.5,4668.061,4.6,468528.5895,784.4498583,35.57%,369902,1.07%,1081,6.61,231.693
8/1/2015,213.1278587,3.91,85315.91667,4671.417167,4.3,471120.0419,782.9231667,35.53%,370501,1.03%,1242,6.16,231.693
9/1/2015,215.6116946,3.89,85698.33333,4674.773333,4,473711.4943,781.396475,35.50%,371100,1.00%,796,5.77,231.302
10/1/2015,217.8651122,3.8,86080.75,4678.1295,4,476302.9468,779.8697833,35.27%,371805.6667,0.97%,979,5.63,231.302
11/1/2015,219.5282083,3.94,86463.16667,4681.485667,4,478894.3992,778.3430917,35.03%,372511.3333,0.93%,811,5.22,229.121
12/1/2015,220.5326246,3.96,86845.58333,4684.841833,3.8,481485.8516,776.8164,34.80%,373217,0.90%,1503,5.47,229.121
1/1/2016,221.1573766,3.87,87228,4688.198,4,484077.304,771.294275,35.03%,373638.6667,0.87%,839,5.55,230.439
2/1/2016,223.3736887,3.66,87722.75,4690.216583,3.9,487761.4323,765.77215,35.27%,374060.3333,0.83%,1361,4.65,230.439
3/1/2016,225.3487658,3.69,88217.5,4692.235167,4,491445.5607,760.250025,35.50%,374482,0.80%,1305,3.9,232.154
4/1/2016,225.4819713,3.61,88712.25,4694.25375,3.7,495129.689,754.7279,35.37%,373782,0.77%,738,4.97,232.154
5/1/2016,224.053136,3.6,89207,4696.272333,3.5,498813.8173,749.205775,35.23%,373082,0.73%,1860,4.58,233.095
6/1/2016,224.7892808,3.57,89701.75,4698.290917,4,502497.9457,743.68365,35.10%,372382,0.70%,952,4.76,233.095
7/1/2016,225.2007864,3.44,90196.5,4700.3095,4.2,506182.074,738.161525,34.97%,372386.3333,0.70%,803,5.25,233.405
8/1/2016,227.8806543,3.44,90691.25,4702.328083,4,509866.2023,732.6394,34.83%,372390.6667,0.70%,861,4.67,233.405
9/1/2016,228.2842203,3.46,91186,4704.346667,3.8,513550.3307,727.117275,34.70%,372395,0.70%,1723,4.46,233.599
10/1/2016,230.3195211,3.47,91680.75,4706.36525,3.8,517234.459,721.59515,34.63%,372408,0.67%,1399,4.15,233.599
11/1/2016,231.373809,3.77,92175.5,4708.383833,3.6,520918.5873,716.073025,34.57%,372421,0.63%,1596,4.02,231.574
12/1/2016,233.7488618,4.2,92670.25,4710.402417,3.5,524602.7157,710.5509,34.50%,372434,0.60%,1490,3.86,231.574
1/1/2017,234.8953556,4.15,93165,4712.421,3.9,528286.844,710.9219083,34.67%,373236.6667,0.60%,839,4.13,233.234
2/1/2017,236.8710198,4.17,93754.25,4713.57875,3.6,531109.254,711.2929167,34.83%,374039.3333,0.60%,1017,4.51,233.234
3/1/2017,235.8865105,4.2,94343.5,4714.7365,3.4,533931.664,711.663925,35.00%,374842,0.60%,1003,4.54,236.481
4/1/2017,236.2168509,4.05,94932.75,4715.89425,3.2,536754.074,712.0349333,34.90%,374736,0.57%,1444,4.08,236.481
5/1/2017,237.5833332,4.01,95522,4717.052,3.1,539576.484,712.4059417,34.80%,374630,0.53%,1356,4.52,237.107
6/1/2017,239.0807166,3.9,96111.25,4718.20975,3.5,542398.894,712.77695,34.70%,374524,0.50%,2358,4.72,237.107
7/1/2017,240.7335141,3.97,96700.5,4719.3675,3.7,545221.304,713.1479583,34.70%,374736.6667,0.50%,1407,4.3,235.803
8/1/2017,242.1093226,3.88,97289.75,4720.52525,3.6,548043.714,713.5189667,34.70%,374949.3333,0.50%,1582,4.2,235.803
9/1/2017,244.7958605,3.81,97879,4721.683,3.1,550866.124,713.889975,34.70%,375162,0.50%,906,4.48,237.011
10/1/2017,248.2517916,3.9,98468.25,4722.84075,3,553688.534,714.2609833,34.60%,375460.3333,0.50%,1576,4.61,237.011
11/1/2017,252.4307561,3.92,99057.5,4723.9985,2.9,556510.944,714.6319917,34.50%,375758.6667,0.50%,1372,4.82,236.108
12/1/2017,255.2940232,3.95,99646.75,4725.15625,2.8,559333.354,715.003,34.40%,376057,0.50%,2004,4.95,236.108
