Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate,Personal_Income,Resident_Population,Unemployment_Rate,CPI_allitems,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,CPI_1Y,New_Structures,Economic_Conditions_Index,,,
2/1/2016,132.052309099387000,,,,6.4,227.438,,,,,,,,,,1017,1.54,,,
3/1/2016,132.888515421967000,,,,6.2,227.778,,,37.20%,167121,2.50%,,,,,1911,1.55,,,
4/1/2016,133.521282601814000,,,,5.8,229.197,,,,,,,,,,1069,1.83,,,
5/1/2016,133.979724956772000,,,,5.3,229.247,,,,,,,,,,1482,1.22,,,
6/1/2016,133.816669674474000,,,,6.0,230.341,,,36.70%,165313,2.20%,,,,,996,1.38,,,
7/1/2016,133.811708183344000,,,,5.8,228.454,,,,,,,,,,1997,1.88,,,
8/1/2016,133.541603882117000,,,,5.7,228.956,,,,,,,,,,1519,1.67,,,
9/1/2016,133.947538211966000,,,,5.5,230.282,,,36.30%,164466,2.20%,,,,,1822,1.64,,,
10/1/2016,134.083212917683000,,,,5.5,230.506,,,,,,,,,,2955,1.76,,,
11/1/2016,135.416705509258000,,,,5.0,230.969,,,,,,,,,,1163,1.64,,,
12/1/2016,136.850119853267000,,,,5.1,230.476,,1105.48,36.10%,164465,2.10%,,,,,1072,1.34,,,
1/1/2017,137.852990848070000,,58331,9514.113,5.8,232.155,658633.034,,,,,,,,,700,1.84,,,
2/1/2017,138.150300625033000,,,,5.4,232.491,,,,,,,,,,1623,1.92,,,
3/1/2017,138.331680316040000,,,,4.7,232.225,,,36.40%,164638,2.00%,,,,,1165,1.70,,,
4/1/2017,138.204074386362000,,,,4.5,233.066,,,,,,,,,,2671,1.37,,,
5/1/2017,138.150359445966000,,,,4.4,233.443,,,,,,,,,,1201,1.43,,,
6/1/2017,138.125941397909000,,,,5.1,233.407,,,36.30%,164674,1.80%,,,,,3207,1.43,,,
7/1/2017,138.347211356128000,,,,5.1,233.514,,,,,,,,,,1140,1.44,,,
8/1/2017,138.546276415834000,,,,5.3,234.200,,,,,,,,,,1785,1.56,,,
9/1/2017,139.001793452763000,,,,4.6,235.177,,,35.80%,164838,1.80%,,,,,1810,1.79,,,
10/1/2017,139.375383473944000,,,,4.5,234.159,,,,,,,,,,1895,1.75,,,
11/1/2017,140.042768575537000,,,,4.4,235.206,,,,,,,,,,1499,1.89,,,
12/1/2017,140.240721775575000,,,,4.4,234.293,,1098.86,35.50%,164821,1.80%,,,,,1699,1.94,,,
1/1/2018,141.063546739677000,,61642,9484.158,5.0,236.267,691288.417,,,,,,,,,671,1.96,,,
2/1/2018,141.469332507364000,,,,4.8,236.306,,,,,,,,,,864,1.99,,,
3/1/2018,141.786227290933000,,,,4.1,236.388,,,36.00%,164448,1.70%,,,,,1370,1.85,,,
4/1/2018,141.763468009323000,,,,3.7,237.940,,,,,,,,,,1767,1.21,,,
5/1/2018,141.847599733838000,,,,3.5,238.910,,,,,,,,,,2161,1.49,,,
6/1/2018,141.817358730016000,,,,4.5,238.540,,,35.80%,164034,1.50%,,,,,1688,1.61,,,
7/1/2018,141.861184713799000,,,,4.3,237.870,,,,,,,,,,1282,1.62,,,
8/1/2018,142.383145749053000,,,,4.1,238.098,,,,,,,,,,1615,1.51,,,
9/1/2018,143.084705754383000,,,,3.7,238.957,,,35.80%,165003,1.40%,,,,,1583,1.35,,,
10/1/2018,143.920804331396000,,,,3.9,238.892,,,,,,,,,,1736,1.35,,,
11/1/2018,144.291680968882000,,,,3.6,237.511,,,,,,,,,,2011,1.44,,,
12/1/2018,144.192156046649000,,,,4.0,236.796,,1006.09,35.40%,165237,1.40%,,,,,1064,1.34,,,
1/1/2019,144.104591491667000,,63500,9458.539,4.9,238.218,709160.008,,,,,,,,,999,1.33,,,
2/1/2019,144.268701474954000,,,,4.5,239.669,,,,,,,,,,1171,1.22,,,
3/1/2019,143.900546110221000,,,,4.2,240.019,,,35.70%,165033,1.30%,,,,,911,1.10,,,
4/1/2019,144.165744087810000,,,,3.6,239.726,,,,,,,,,,2343,1.21,,,
5/1/2019,144.124959227898000,,,,3.4,241.758,,,,,,,,,,1780,1.20,,,
6/1/2019,144.387888507399000,,,,4.1,240.835,,,35.60%,164162,1.20%,,,,,1324,1.19,,,
7/1/2019,144.432184016931000,,,,4.1,241.589,,,,,,,,,,1854,1.05,,,
8/1/2019,144.422442936093000,,,,3.8,241.985,,,,,,,,,,1331,0.96,,,
9/1/2019,143.719229055275000,,,,3.3,242.393,,,35.50%,163797,1.30%,,,,,1099,0.74,,,
10/1/2019,144.269699221336000,,,,3.3,243.236,,,,,,,,,,1308,0.58,,,
11/1/2019,144.419652648232000,,,,3.2,242.661,,,,,,,,,,1628,0.22,,,
12/1/2019,145.127951932970000,,,,3.2,242.079,,,35.50%,163711,1.30%,,,,,1958,0.51,,,
1/1/2020,144.502990918611000,,,,3.8,244.361,,,,,,,,,,1107,,,,
2/1/2020,145.006754025576000,,,,3.6,244.407,,,,,,,,,,1131,,,,
3/1/2020,145.817373425940000,,,,4.5,242.655,,,,,,,,,,1704,,,,
4/1/2020,146.004515521144000,,,,17.3,240.364,,,,,,,,,,1077,,,,
5/1/2020,145.977059847398000,,,,15.3,242.650,,,,,,,,,,1032,,,,
6/1/2020,145.265519176574000,,,,15.5,243.475,,,,,,,,,,1090,,,,
7/1/2020,146.365134586038000,,,,12.1,244.046,,,,,,,,,,1542,,,,
8/1/2020,148.155264784975000,,,,11.8,244.341,,,,,,,,,,958,,,,
9/1/2020,150.444239875300000,,,,10.8,245.745,,,,,,,,,,1472,,,,
10/1/2020,,,,,7.2,245.584,,,,,,,,,,1464,,,,
11/1/2020,,,,,,244.610,,,,,,19216.182,,,,1240,,,,
